Car ID,Timestamp,Pixel_X,Pixel_Y,Actual_X,Actual_Y,Heading
test_009_car_12,00:00:04.767,398.00,270.00,-0.6579168577335266,-1.50235043683587,-93.66090031809983
test_009_car_12,00:00:04.799,405.50,270.00,-0.6579168577335266,-1.495586224782551,180
test_009_car_12,00:00:04.833,413.00,269.00,-0.6574104109927973,-1.487675957498986,-93.66330353461143
test_009_car_12,00:00:04.867,420.00,268.00,-0.6569047433505582,-1.4802281128208075,-93.88410710886012
test_009_car_12,00:00:04.900,427.00,268.00,-0.6569047433505582,-1.4739245603249027,180
test_009_car_12,00:00:04.932,434.00,267.00,-0.6563998530103875,-1.4664930091695507,-93.88663151426465
test_009_car_12,00:00:04.966,440.50,266.00,-0.6558957381813822,-1.4595224350312301,-94.13645315097392
test_009_car_12,00:00:05.000,447.00,265.00,-0.655392397078137,-1.4525625594727996,-94.13645315097261
test_009_car_12,00:00:05.033,453.50,264.00,-0.6548898279207221,-1.4456133578825463,-94.13645315097403
test_009_car_12,00:00:05.067,460.00,263.00,-0.654388028934664,-1.438674805724192,-94.1364531509737
test_009_car_12,00:00:05.099,465.50,263.00,-0.654388028934664,-1.4337409894677047,180
test_009_car_12,00:00:05.133,472.00,262.00,-0.6538869983509231,-1.426816839844389,-94.13870200980352
test_009_car_12,00:00:05.166,478.50,261.00,-0.6533867344058737,-1.4199032850254214,-94.13870200980443
test_009_car_12,00:00:05.200,484.50,260.00,-0.6528872353412831,-1.413447800793337,-94.42449812557953
test_009_car_12,00:00:05.232,491.00,259.00,-0.6523884994042911,-1.4065550209198192,-94.13849746722866
test_009_car_12,00:00:05.267,497.00,258.00,-0.6518905248473892,-1.4001195806181774,-94.42473185845137
test_009_car_12,00:00:05.299,503.50,258.00,-0.6518905248473892,-1.3943109606768982,180
test_009_car_12,00:00:05.333,509.50,257.00,-0.6513933099284005,-1.3878897677465494,-94.42777263007792
test_009_car_12,00:00:05.367,516.00,256.00,-0.6508968529104593,-1.3810322267545874,-94.14074854620031
test_009_car_12,00:00:05.400,521.50,256.00,-0.6508968529104593,-1.3761247325276311,180
test_009_car_12,00:00:05.432,528.50,255.00,-0.6504011520619907,-1.3688355777777346,-93.89042427150167
test_009_car_12,00:00:05.466,534.00,254.00,-0.649906205656691,-1.3628938874192347,-94.76177945826123
test_009_car_12,00:00:05.500,539.00,253.00,-0.6494120119735066,-1.3574063513783685,-95.14603160567441
test_009_car_12,00:00:05.533,545.00,252.00,-0.6489185692966156,-1.3510375947468811,-94.43034885043085
test_009_car_12,00:00:05.567,551.00,251.00,-0.6484258759154063,-1.3446785091107611,-94.43034885043136
test_009_car_12,00:00:05.599,556.00,251.00,-0.6484258759154063,-1.3402340872216887,180
test_009_car_12,00:00:05.633,562.50,251.00,-0.6484258759154063,-1.3344563387658948,180
test_009_car_12,00:00:05.666,568.50,251.00,-0.6484258759154063,-1.3291230324990082,180
test_009_car_12,00:00:05.700,573.50,250.00,-0.6479339301244587,-1.3236736074306164,-95.15838288764263
test_009_car_12,00:00:05.732,579.00,250.00,-0.6479339301244587,-1.3187884524213138,180
test_009_car_12,00:00:05.767,584.50,249.00,-0.647442730223524,-1.3129072249121463,-94.77426084408512
test_009_car_12,00:00:05.799,589.50,249.00,-0.647442730223524,-1.3084695416718468,180
test_009_car_12,00:00:05.833,595.50,248.00,-0.6469522745175058,-1.3021571540564467,-94.44280360166528
test_009_car_12,00:00:05.867,600.00,247.00,-0.6464625613164394,-1.29718361231537,-95.62342658092751
test_009_car_12,00:00:05.900,606.00,247.00,-0.6464625613164394,-1.2918664543214675,180
test_009_car_12,00:00:05.932,611.00,246.00,-0.6459735889354739,-1.286461696822195,-95.16951782341016
test_009_car_12,00:00:05.966,616.00,246.00,-0.6459735889354739,-1.282034083327631,180
test_009_car_12,00:00:06.000,620.50,245.00,-0.6454853556948517,-1.2770832689071259,-95.63211289277871
test_009_car_12,00:00:06.033,626.00,245.00,-0.6454853556948517,-1.272216575140682,180
test_009_car_12,00:00:06.067,631.00,245.00,-0.6454853556948517,-1.2677923080802787,180
test_009_car_12,00:00:06.099,636.00,245.00,-0.6454853556948517,-1.2633680410198749,180
test_009_car_12,00:00:06.133,640.00,244.00,-0.6449978599198896,-1.2588771555409344,-96.19532803005751
test_009_car_12,00:00:06.166,645.00,243.00,-0.64451109994096,-1.253509530458383,-95.18166159052225
test_009_car_12,00:00:06.200,650.00,243.00,-0.64451109994096,-1.2490919411135966,180
test_009_car_12,00:00:06.232,655.00,243.00,-0.64451109994096,-1.2446743517688101,180
test_009_car_12,00:00:06.267,660.00,243.00,-0.64451109994096,-1.2402567624240237,180
test_009_car_12,00:00:06.299,664.00,242.00,-0.6440250740934714,-1.2357900783150972,-96.2099983923859
test_009_car_12,00:00:06.333,668.50,241.00,-0.6435397807178498,-1.2308890326075705,-95.65489924740007
test_009_car_12,00:00:06.367,672.50,241.00,-0.6435397807178498,-1.2273602872022475,180
test_009_car_12,00:00:06.400,678.00,241.00,-0.6435397807178498,-1.2225082622699286,180
test_009_car_12,00:00:06.432,682.50,241.00,-0.6435397807178498,-1.2185384236889405,180
test_009_car_12,00:00:06.466,686.50,241.00,-0.6435397807178498,-1.2150096782836175,180
test_009_car_12,00:00:06.500,692.00,241.00,-0.6435397807178498,-1.2101576533512985,180
test_009_car_12,00:00:06.533,695.50,240.00,-0.6430552181595193,-1.2061611203572304,-96.91312484219122
test_009_car_12,00:00:06.567,700.00,240.00,-0.6430552181595193,-1.2021942709234505,180
test_009_car_12,00:00:06.599,704.00,240.00,-0.6430552181595193,-1.1986681825378682,180
test_009_car_12,00:00:06.633,709.00,240.00,-0.6430552181595193,-1.1942605720558905,180
test_009_car_12,00:00:06.666,712.50,240.00,-0.6430552181595193,-1.191175244718506,180
test_009_car_12,00:00:06.700,716.00,239.00,-0.6425713847688838,-1.1871960010316802,-96.93252309037211
test_009_car_12,00:00:06.732,719.50,237.00,-0.6416058989170984,-1.1823338241340493,-101.23116753408328
test_009_car_12,00:00:06.767,722.50,236.00,-0.6411242431814863,-1.1788096169521132,-97.78243555460926
test_009_car_12,00:00:06.799,725.50,237.00,-0.6416058989170984,-1.1770566122141282,-74.6365290445732
test_009_car_12,00:00:06.833,730.50,237.00,-0.6416058989170984,-1.1726589356141939,180
test_009_car_12,00:00:06.867,736.00,236.00,-0.6411242431814863,-1.166944803779493,-94.81818743416477
test_009_car_12,00:00:06.900,737.00,236.00,-0.6411242431814863,-1.166065928729669,180
test_009_car_12,00:00:06.932,740.50,230.00,-0.6382494270570211,-1.1577749922533935,-109.12358086324821
test_009_car_12,00:00:06.966,744.50,229.00,-0.6377727956977808,-1.153413266954808,-96.2363021218058
test_009_car_12,00:00:07.000,750.00,232.00,-0.6392048302009208,-1.1511837627811057,-57.286930680281046
test_009_car_12,00:00:07.033,755.00,232.00,-0.6392048302009208,-1.1468025435169376,180
test_009_car_12,00:00:07.067,757.50,229.00,-0.6377727956977808,-1.1420476169326272,-106.76065096644706
test_009_car_12,00:00:07.099,760.50,229.00,-0.6377727956977808,-1.1394247746198163,180
test_009_car_12,00:00:07.133,764.50,227.00,-0.6368216654245126,-1.1342336075365336,-100.38262487675428
test_009_car_12,00:00:07.166,767.00,224.00,-0.6354002773295173,-1.1295244232130217,-106.79555670948662
test_009_car_12,00:00:07.200,769.50,223.00,-0.6349278902686873,-1.1265087283546438,-98.90263048435605
test_009_car_12,00:00:07.232,771.50,222.00,-0.6344562050764789,-1.1239323813271973,-100.374977324219
test_009_car_12,00:00:07.267,774.00,222.00,-0.6344562050764789,-1.1217580456396223,180
test_009_car_12,00:00:07.299,777.50,221.00,-0.6339852201898079,-1.1178835048409919,-96.93080712368902
test_009_car_12,00:00:07.333,780.00,220.00,-0.6335149340502276,-1.114883156209516,-98.90827719498515
test_009_car_12,00:00:07.367,783.50,219.00,-0.6330453451039126,-1.1110194553371073,-96.92966361545803
test_009_car_12,00:00:07.400,785.00,216.00,-0.6316407459552565,-1.1072555165183542,-110.46420050038071
test_009_car_12,00:00:07.432,787.50,213.00,-0.6302423660482797,-1.1026442857538932,-106.870202207224
test_009_car_12,00:00:07.466,789.00,212.00,-0.6297776143322737,-1.1005361955665909,-102.43261122733219
test_009_car_12,00:00:07.500,791.50,210.00,-0.6288501641681715,-1.0967603533721415,-103.80020562045854
test_009_car_12,00:00:07.533,794.00,208.00,-0.6279254416301986,-1.0929956159100305,-103.80020562045786
test_009_car_120,00:00:50.767,165.50,289.00,-0.6676898048557929,-1.7374723185180057,0
test_009_car_120,00:00:50.799,176.00,288.00,-0.6671682064256462,-1.7265119487819987,-92.72462142243216
test_009_car_120,00:00:50.832,186.00,286.00,-0.6661274505837114,-1.714687155854033,-95.0299105095038
test_009_car_120,00:00:50.866,195.00,285.00,-0.6656082893669993,-1.7051388287899603,-93.11221910859888
test_009_car_120,00:00:50.899,203.50,283.00,-0.6645723908741896,-1.694741431819436,-95.689634651853
test_009_car_120,00:00:50.932,211.50,281.00,-0.6635397117469932,-1.6848311493525618,-95.9489107984025
test_009_car_120,00:00:50.966,219.50,280.00,-0.6630245747592293,-1.6762519617496516,-93.43619720868958
test_009_car_120,00:00:51.000,228.50,278.00,-0.6619966966136833,-1.665485901206056,-95.45372279371361
test_009_car_120,00:00:51.033,237.50,277.00,-0.661483951744555,-1.656034847341218,-93.10540441371376
test_009_car_120,00:00:51.067,246.50,275.00,-0.6604608411782737,-1.645325034040994,-95.45691729064828
test_009_car_120,00:00:51.100,253.50,273.00,-0.6594408905940982,-1.6364562673732197,-96.56046685688636
test_009_car_120,00:00:51.133,261.50,271.00,-0.6584240853747074,-1.6267122603006618,-95.95735950418344
test_009_car_120,00:00:51.167,269.00,270.00,-0.6579168577335266,-1.6186948841529545,-93.62005236694245
test_009_car_120,00:00:51.200,275.50,269.00,-0.6574104109927973,-1.6115910518131642,-94.07783407116989
test_009_car_120,00:00:51.232,283.50,268.00,-0.6569047433505582,-1.6031473864909478,-93.42719167664336
test_009_car_120,00:00:51.267,290.50,267.00,-0.6563998530103875,-1.5956165159786853,-93.835527479262
test_009_car_120,00:00:51.299,296.50,266.00,-0.6558957381813822,-1.5889963371982112,-94.35456785971235
test_009_car_120,00:00:51.332,304.50,262.00,-0.6538869983509231,-1.5769589272890874,-99.47392217253707
